author,commentNum,content,date,id,rating,skill_title,timestamp,title,vote
AKMoose,0,"The best Alexa game skill. ""What is Jeopardy J6?"" That is correct.Look forward to playing Jeopardy every evening when I get home from work. Seems to be a realistic simulation of the Jeopardy experience. Well designed voice interface for Alexa. I will be not miss a day of Jeopardy J6.",2017-02-09,648662f2-2d0b-4834-a2c5-4b607e039cb9,5.0,Jeopardy!,1503629373.517272,The best Alexa game skill,2
Leslie F.,0,"This is fun!  My whole family loves Jeopardy, so when I heard about this app, I had to try it.  We've played it a couple times, and its worked perfectly.  The only downside is that there are only 6 questions (but yay! new questions every week day).  I'm pleased.",2016-01-09,7f3c5dcf-6006-418a-a47f-45297236fc98,4.0,Jeopardy!,1503629373.5429251,Fun game for Jeopardy fans,10
donna decollibus,0,"Love this game, look forward to playing m",2017-01-07,7dd2dcf8-bfb3-4a7f-9c82-f7406cb315e0,5.0,Jeopardy!,1503629373.566706,Fun,4
Anne G. Barnett,0,Wish they would provide new questions for the weekend and not just weekdays. Actually it would be nice if they'd just provide more questions period!,2017-01-14,bf26c1e8-230c-4e21-becd-0ed76b697067,3.0,Jeopardy!,1503629373.588923,Good but could be better,3
Rich,0,We love this skill above all other Alexa skills,2017-08-10,0cbff1a5-3ae6-4a88-89ec-2733ec797533,5.0,Jeopardy!,1503629373.6073759,Great fun,2
Amanda Johnson,0,"Alexa: *asks question*Me: *gives correct answer*Alexa: Sorry, the correct answer was *answer I just gave*This is a super promising game and can be really fun when it works. Unfortunately it sometimes doesn't. Either Alexa garbles words or doesn't understand my answer, which is extra frustrating now that she tracks your score over the whole week. I want credit for my right answers, dangit!",2017-05-23,d86ae049-caea-4668-a663-31bb9b3ac0d1,3.0,Jeopardy!,1503629373.6256242,Really fun (when it works),4
Tim D.,0,Title says it all.  Cool concpet but doesn't work well.  It pronounces certain words oddly (like daschund) and doesn't understand.,2017-08-14,2a8ac390-f76b-40a7-ab50-fc1d65f41291,2.0,Jeopardy!,1503629373.642344,"Buggy, misunderstands words, new questiona only every few days",1
Paul Larpenteur,0,"I really like this game, especially how it lets you just play once per day and compares you with other players. Doesn't wear you out, but keeps you coming back each day once a day for a special reward of playing Jeopardy!",2017-07-16,9f7a5f6c-efb3-47c7-ad9f-b44e1bffac2d,5.0,Jeopardy!,1503629379.558326,Great Alexa Daily Treat!,1
Amazon Customer,0,Love it! Great fun.,2017-05-07,d2ba66b3-0d74-4126-9807-8978caaf2d82,5.0,Jeopardy!,1503629379.5918982,Love it!,3
Marie Brandt,0,"This skill is a great idea, but the clues are given in a very robotic sounding voice that is hard to understand. oh well :(",2017-07-06,2441ca79-61d3-483e-ab47-a91686505fb6,2.0,Jeopardy!,1503629379.625273,Jeopardy...not so much,1
Clinton Anslover,0,Wish it refreshed on weekends and that you could play prior days,2017-02-16,ee4d87cb-5fed-4040-b58f-0e2bba80787d,4.0,Jeopardy!,1503629379.65048,Great app,5
Terri Schlaiss,0,"Some rounds are better than others. We've been playing for several months now, and the biggest issue is when you give a correct answer and it says ""no, sorry"" and procedes to tell you the correct answer is the one you gave! Frustrating, but then again it is just a game, free and flawed. If give it 3 1/2 stars but that wasn't an option, and 4 was just too much. We'll still play it, and enjoy it most of the time.",2017-08-15,686d67c7-82f0-416e-b89a-df95fd0dc28a,3.0,Jeopardy!,1503629379.6704068,"Good game, lots of glitches!",1
Amazon Customer,0,I want a way to play more than 6 questions a day that would amazing. Maybe make a database of questions and responses.,2017-01-08,b5ba0c90-e3ef-48ef-9ffb-4dcd22cd55a7,4.0,Jeopardy!,1503629379.6897204,Need more $_$,6
Davis509,0,I really enjoy this app! Even though you only get a new list of questions to play once a day I still enjoy it! I like that they let you know how you did compared to other players for the day and then your total for the week!,2017-05-02,5ade10fb-7f3f-4e34-b206-157dece14f5f,5.0,Jeopardy!,1503629379.7140439,Daily Trivia,1
